dataset_name	Encoder	validation_type	sample_type	train_shape	test_shape	mean_target_before_sampling_train	mean_target_after_sampling_train	mean_target_test	num_cat_cols	train_score	val_score	test_score	time	features_before_encoding	features_after_encoding	avg_tress_number	train_prop_size
telecom	CatBoostEncoder	Single	None	704	4226	0.25	0.25	0.26786559394226217	16	0.9507839530560027	0.7711436700466351	0.7909773789918251	10.035282135009766	19	19	28	0.25
telecom	CatBoostEncoder	Single	None	1408	4226	0.2649147727272727	0.2649147727272727	0.26786559394226217	16	0.9473990035520276	0.7625649127388258	0.7941651857807543	10.856401205062866	19	19	31	0.5
telecom	CatBoostEncoder	Single	None	2112	4226	0.26609848484848486	0.26609848484848486	0.26786559394226217	16	0.9625114751219357	0.796838984951674	0.8173239668251101	12.110380172729492	19	19	55	0.75
telecom	CatBoostEncoder	Single	gan	880	4226	0.25	0.4	0.26786559394226217	16	0.9655265881589834	0.826123786745631	0.7858487646213691	6.454712867736816	19	19	45	0.25
telecom	CatBoostEncoder	Single	gan	2112	4226	0.2649147727272727	0.5047348484848485	0.26786559394226217	16	0.9689029589589303	0.6686920352524505	0.7305957786756997	5.068154573440552	19	19	90	0.5
telecom	CatBoostEncoder	Single	gan	3696	4226	0.26609848484848486	0.49972943722943725	0.26786559394226217	16	0.976573234032213	0.8291895554090676	0.733909641595154	16.553499698638916	19	19	198	0.75
telecom	CatBoostEncoder	Single	sample_original	880	4226	0.25	0.2784090909090909	0.26786559394226217	16	0.9541318495902298	0.7964325887835448	0.7914065123195241	9.316415548324585	19	19	36	0.25
telecom	CatBoostEncoder	Single	sample_original	2112	4226	0.2649147727272727	0.26325757575757575	0.26786559394226217	16	0.9628222910026569	0.8313272496552239	0.8100611065301359	11.188456058502197	19	19	35	0.5
telecom	CatBoostEncoder	Single	sample_original	3696	4226	0.26609848484848486	0.2935606060606061	0.26786559394226217	16	0.9472838472553446	0.8115962104240987	0.7975078860030014	16.54263997077942	19	19	204	0.75
adult	CatBoostEncoder	Single	None	4884	29306	0.23361998361998362	0.23361998361998362	0.23995086330444276	8	0.9482754738723914	0.8366190735101722	0.8784073030913059	9.072041988372803	14	14	71	0.25
adult	CatBoostEncoder	Single	None	9768	29306	0.23474610974610974	0.23474610974610974	0.23995086330444276	8	0.9206448457558245	0.8782990082565686	0.902996855636946	10.37281322479248	14	14	62	0.5
adult	CatBoostEncoder	Single	None	14652	29306	0.23744198744198744	0.23744198744198744	0.23995086330444276	8	0.9524850648340255	0.8764301580520678	0.9108225945747773	16.715757608413696	14	14	194	0.75
adult	CatBoostEncoder	Single	gan	6105	29306	0.23361998361998362	0.3868959868959869	0.23995086330444276	8	0.9779395365747696	0.9237241938203299	0.8650189182498293	7.308986186981201	14	14	94	0.25
adult	CatBoostEncoder	Single	gan	14652	29306	0.23474610974610974	0.4898307398307398	0.23995086330444276	8	0.972879149733056	0.9507173645732946	0.8591803431622068	4.40851902961731	14	14	49	0.5
adult	CatBoostEncoder	Single	gan	25641	29306	0.23744198744198744	0.5538005538005538	0.23995086330444276	8	0.9770284380556694	0.9627668804751801	0.8640707424737902	5.9895689487457275	14	14	73	0.75
adult	CatBoostEncoder	Single	sample_original	6105	29306	0.23361998361998362	0.21883701883701884	0.23995086330444276	8	0.9379375693070034	0.8209035067281875	0.862322535505923	4.939532279968262	14	14	111	0.25
adult	CatBoostEncoder	Single	sample_original	14652	29306	0.23474610974610974	0.23082173082173083	0.23995086330444276	8	0.9064504858976699	0.8802652250442715	0.8941179998555583	5.058996677398682	14	14	55	0.5
adult	CatBoostEncoder	Single	sample_original	25641	29306	0.23744198744198744	0.23376623376623376	0.23995086330444276	8	0.9105866958298716	0.8488942325067239	0.8841846513834368	7.523011684417725	14	14	100	0.75
employee	CatBoostEncoder	Single	None	3276	19662	0.9377289377289377	0.9377289377289377	0.9421218594242702	9	0.8387308459573963	0.5478813781285504	0.541631428415291	3.764129638671875	9	9	13	0.25
employee	CatBoostEncoder	Single	None	6553	19662	0.9410956813673127	0.9410956813673127	0.9421218594242702	9	0.8435260045008717	0.5714672460292307	0.5968346199050565	4.508434057235718	9	9	31	0.5
employee	CatBoostEncoder	Single	None	9830	19662	0.9429298067141404	0.9429298067141404	0.9421218594242702	9	0.7700627326608164	0.5572643636687524	0.6047351433887695	5.578792572021484	9	9	61	0.75
